,files changed,lines added,lines removed,loops added,loops removed,ifs added,ifs removed,boolean_op added,boolean_op removed,pairs added,pairs removed,function calls added,function calls removed,assignment added,assignment removed,sizeof added,sizeof removed,continue added,continue removed,break added,break removed,goto added,goto removed,return added,return removed,numerical added,numerical removed,compare added,compare removed,error added,error removed,char changed
223,1,6,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,162
224,2,5,2,0,0,0,0,0,0,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,117
225,1,11,9,0,0,3,3,5,5,8,8,4,4,1,1,3,3,0,0,0,0,0,0,1,1,4,4,5,5,0,0,19
226,1,31,31,0,1,4,2,0,1,8,9,4,6,7,6,0,0,0,0,0,0,0,0,1,3,6,20,4,3,11,2,-476
227,1,6,2,0,0,2,2,0,0,6,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,0,2,58
228,2,0,4,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155
229,1,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,73
230,1,8,6,0,0,1,1,0,0,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,66
231,1,4,3,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,74
232,1,31,0,1,0,3,0,1,0,8,0,4,0,6,0,0,0,0,0,0,0,0,0,2,0,12,0,3,0,0,0,760
233,1,5,0,0,0,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,168
234,1,6,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,91
235,3,4,4,0,0,0,0,0,0,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50
237,1,8,4,1,0,1,1,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,109
238,1,17,14,0,0,2,2,1,1,9,8,7,6,2,2,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,-12
