,files changed,lines added,lines removed,loops added,loops removed,ifs added,ifs removed,boolean_op added,boolean_op removed,pairs added,pairs removed,function calls added,function calls removed,assignment added,assignment removed,sizeof added,sizeof removed,continue added,continue removed,break added,break removed,goto added,goto removed,return added,return removed,numerical added,numerical removed,compare added,compare removed,error added,error removed,char changed
67,1,1,2,0,0,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,-36
68,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21
69,1,17,9,0,0,1,0,0,0,10,7,9,7,6,5,0,0,0,0,0,0,0,0,0,1,5,3,1,0,1,0,178
70,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
71,1,6,1,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
72,1,11,9,0,0,3,2,5,5,10,9,5,5,1,1,0,0,0,0,0,0,0,0,0,0,12,12,1,1,0,0,61
73,1,1,1,0,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19
74,2,35,0,1,0,0,0,1,0,24,0,23,0,10,0,3,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,938
75,2,17,11,0,0,1,1,0,0,5,4,4,3,1,1,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,321
76,1,6,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,208
77,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
78,1,10,3,0,0,2,1,2,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,3,1,1,0,318
79,1,5,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,106
80,1,15,19,0,0,4,1,4,2,6,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,2,4,2,5,2,-51
81,2,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,114
82,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
83,1,3,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,69
84,1,1,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4
85,1,6,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,180
86,1,190,173,9,7,16,13,9,6,81,75,47,44,55,56,4,1,0,0,0,0,0,0,0,0,143,142,15,7,2,2,-162
87,1,18,6,0,0,4,1,0,0,11,4,5,0,2,1,2,0,0,0,0,0,0,0,4,0,13,8,7,1,0,0,318
88,1,3,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86
89,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
90,3,3,2,0,0,1,1,3,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
91,3,85,17,3,0,6,3,1,0,45,13,39,10,7,4,0,0,0,0,0,0,0,0,0,0,5,1,5,3,0,0,1952
92,2,7,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,124
93,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
94,1,3,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,105
95,1,39,25,0,0,8,6,5,2,23,26,8,7,3,2,0,0,0,0,0,0,0,0,2,2,39,46,4,2,0,0,193
96,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,73
97,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
98,1,7,1,0,0,1,0,1,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,201
99,1,8,2,0,0,1,0,0,0,6,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1,0,305
100,2,374,255,0,0,3,2,3,0,119,118,116,116,2,1,0,0,0,0,0,0,0,0,133,132,3,14,3,2,0,0,6884
101,1,4,6,0,0,0,0,0,0,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-5
102,1,7,0,0,0,1,0,1,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,239
103,1,4,1,0,0,1,1,3,0,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,117
104,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41
105,1,8,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,169
106,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,471
107,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
108,1,11,6,0,0,2,2,0,0,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,84
109,1,4,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,33
110,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,69
111,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
112,2,3,25,0,0,0,2,0,0,0,4,0,2,3,9,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,-584
113,1,1,1,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
114,1,5,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,106
115,1,11,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,447
116,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
117,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,114
118,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,184
119,1,28,29,0,0,5,7,0,0,12,7,7,0,6,10,0,0,0,0,0,0,0,0,0,0,35,44,5,7,0,0,-152
120,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,160
121,1,3,1,0,0,1,1,2,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,106
122,1,33,4,0,0,4,1,1,1,16,3,4,1,4,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,9,3,1127
123,1,8,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,169
124,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,266
125,1,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,32
126,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
